target,seed,conv,pool,loss,lambda1,explainer,rmse_test,pcc_test
1D8M-BBH,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.0372428726404905,0.9987385413613746
1D8M-BBH,1337,nn,mean+att,MSE,1.0,gradinput,0.0839053485542535,0.996854919091532
1DB4-8IN,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.1532674208283424,0.9923112155389112
1DB4-8IN,1337,nn,mean+att,MSE,1.0,gradinput,0.2835645973682403,0.972220744304554
1F40-GPI,1337,nn,mean+att,MSE,1.0,gradinput,0.2688613981008529,0.936666915570199
1F0R-815,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.2236773297190666,0.973749322438862
1F0R-815,1337,nn,mean+att,MSE,1.0,gradinput,0.2485562413930893,0.977388185129074
1DYR-TOP,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.4105003774166107,0.96960875535779
1DYR-TOP,1337,nn,mean+att,MSE,1.0,gradinput,0.2294394820928573,0.9895788638543624
1O86-LPR,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.2228688523173332,0.9913221754075634
1O86-LPR,1337,nn,mean+att,MSE,1.0,gradinput,0.281071662902832,0.9887914921388888
1H1Q-2A6,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.3167672231793403,0.7270695942478188
1H1Q-2A6,1337,nn,mean+att,MSE,1.0,gradinput,0.4958443231880665,0.4653985118223041
1D7X-SPC,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.1683436036109924,0.983859001282574
1D7X-SPC,1337,nn,mean+att,MSE,1.0,gradinput,0.1206849962472915,0.9949763878029376
1D3G-BRE,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.704627126455307,0.8327890046176716
1D3G-BRE,1337,nn,mean+att,MSE,1.0,gradinput,0.4230353981256485,0.9736754585618111
1CKP-PVB,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.2965662851929664,0.9848619470671518
1CKP-PVB,1337,nn,mean+att,MSE,1.0,gradinput,0.2334160134196281,0.9911290971772756
1FLS-WAY,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.170147780328989,0.9844996894689038
1FLS-WAY,1337,nn,mean+att,MSE,1.0,gradinput,0.1871566027402877,0.9843059090434207
1M17-AQ4,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.188877061009407,0.9923889101059375
1M17-AQ4,1337,nn,mean+att,MSE,1.0,gradinput,0.3858344107866287,0.9630441781217044
1OHJ-COP,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.2611922919750213,0.9637413872831664
1OHJ-COP,1337,nn,mean+att,MSE,1.0,gradinput,0.2168238423764705,0.9763148217924013
1FM9-570,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.1017169840633869,0.995117111018762
1FM9-570,1337,nn,mean+att,MSE,1.0,gradinput,0.2465597167611122,0.9675277426489086
1N1M-A3M,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.2802753299474716,0.989163451960901
1N1M-A3M,1337,nn,mean+att,MSE,1.0,gradinput,0.2417861968278885,0.9892138967829543
1O42-843,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.3299228027462959,0.9228831796914604
1O42-843,1337,nn,mean+att,MSE,1.0,gradinput,0.2503123581409454,0.9633715594317542
1G5S-I17,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.1722825653851032,0.9943843818822587
1G5S-I17,1337,nn,mean+att,MSE,1.0,gradinput,0.0756619032472372,0.9989050713498084
1MS6-BLN,1337,nn,mean+att,MSE,1.0,gradinput,0.4002899974584579,0.971974083309972
1LD8-U49,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.4320276603102684,0.9574418402868312
1LD8-U49,1337,nn,mean+att,MSE,1.0,gradinput,0.2838627621531486,0.9806384593365228
1H00-FAP,1337,nn,mean+att,MSE+UCN,1.0,gradinput,0.4087200611829757,0.9773677860032144
1H00-FAP,1337,nn,mean+att,MSE,1.0,gradinput,0.3897777944803238,0.9873683613614898
